,Date,Open,High,Close,Adj Close,Volume,compound,subjectivity,polarity,rsi,stocastic_oscillator,mfi,macd,ema,vwap,obv,bbands_upper,bbands_lower,chaikin,target
12,5/11/2022,153.5,155.4499969,146.5,145.8318481,142689800,0.1531,0.521027738,0.171374459,33.15775156,3.127844596,-0.133019081,-4.389368289,157.6887254,157.9465809,600500,167.4355385,148.2658906,-44335927.22,142.7700043
13,5/12/2022,142.7700043,146.1999969,142.5599976,141.9098053,182602000,0.6249,0.452822425,0.153225323,30.45714441,13.58379878,-0.077622828,-5.205274641,155.6715617,155.9791461,-182001500,168.5887119,144.365575,-10733708.87,144.5899963
14,5/13/2022,144.5899963,148.1000061,147.1100006,146.4390564,113990900,0.7089,0.478806726,0.186086816,36.85340512,30.02167542,-0.085903077,-5.422234934,154.5300202,155.0043727,-68010600,167.7994466,142.9019825,24924441.1,145.5500031
15,5/16/2022,145.5500031,147.5200043,145.5399933,144.8762054,86643800,0.6369,0.493973408,0.296277056,35.63545197,24.34968215,-0.040901062,-5.655668968,153.3313499,154.3250954,-154654400,167.9361022,141.1567541,10250306.19,148.8600006
16,5/17/2022,148.8600006,149.7700043,149.2400055,148.5593567,78336300,0.743,0.43682804,0.151093502,40.61633265,37.71678181,0.013621158,-5.478949143,152.7858373,153.9033121,-76318100,167.6266089,140.4191043,24807826.06,146.8500061
17,5/18/2022,146.8500061,147.3600006,140.8200073,140.1777496,109742900,-0.3612,0.417405022,0.136185035,34.14141243,7.297705227,-0.089783979,-5.949736039,151.1903933,152.4982654,-186061000,166.4574681,138.3282462,-14172479.13,139.8800049
18,5/19/2022,139.8800049,141.6600037,137.3500061,136.723587,136095600,0.296,0.388910045,0.110701102,31.88546594,2.510041032,-0.074993605,-6.527592126,149.3450084,150.7333617,-322156600,166.6323577,135.2533583,-32991252.13,139.0899963
19,5/20/2022,139.0899963,140.6999969,137.5899963,136.9624786,137426100,0.4939,0.431423611,0.131881313,32.21904869,14.70326674,-0.120761932,-6.886795342,147.7776734,149.1842889,-184730500,166.0578953,132.9178193,2882938.672,137.7899933
20,5/23/2022,137.7899933,143.2599945,143.1100006,142.4573059,117726300,0.6705,0.465773116,0.087530756,39.5519619,31.00089021,-0.076364105,-6.649398143,147.1553171,148.1402884,-67004200,164.1991493,132.4379945,42644650.69,140.8099976
21,5/24/2022,140.8099976,141.9700012,140.3600006,139.7198486,104132700,0.6486,0.451937622,0.115371573,37.38220176,24.62662758,-0.113304656,-6.606999789,146.2492749,146.6325041,-171136900,159.4211764,133.5502526,29718559.69,138.4299927
22,5/25/2022,138.4299927,141.7899933,140.5200043,139.8791199,92482700,0.8514,0.377404401,0.06144143,37.59670465,29.48193486,-0.05410086,-6.485724436,145.4853721,145.3379124,-78654200,157.2366162,133.4133842,19350948.56,137.3899994
23,5/26/2022,137.3899994,144.3399963,143.7799988,143.1242523,90601500,0.2023,0.349990789,0.144445058,41.95925026,46.29090721,-0.020933639,-6.056740203,145.257989,144.3161135,11947300,154.2609348,134.4604942,29932035.38,145.3899994
24,5/27/2022,145.3899994,149.6799927,149.6399994,148.9575195,90978500,0,0.441132138,0.105868481,48.87769336,70.57602708,0.095088875,-5.184154327,145.8422571,143.8116583,102925800,153.6176559,134.7580591,35619968.62,149.0700073
25,5/31/2022,149.0700073,150.6600037,148.8399963,148.1611786,103718400,0.6369,0.390059524,0.168705357,48.03587245,71.05953735,0.111266666,-4.505243651,146.2419556,143.3429491,-792600,151.7832751,135.7824402,7839788.768,149.8999939
26,6/1/2022,149.8999939,151.7400055,148.7100067,148.0317841,74286600,0,0.471398637,0.170885143,47.89153816,84.16101408,0.172685139,-3.932361311,146.5710291,143.0827858,-75079200,152.2313028,135.6501277,-17436049.7,147.8300018
27,6/2/2022,147.8300018,151.2700043,151.2100067,150.5203705,72348100,0,0.437861502,0.154495851,50.94440849,97.22948958,0.234067533,-3.239278437,147.1895595,143.499749,-2731100,153.6006997,135.5164464,7845957.638,146.8999939
28,6/3/2022,146.8999939,147.9700012,145.3800049,144.7169495,88570300,0.7269,0.436128936,0.081069943,44.41015788,66.75379515,0.158186699,-3.124421307,146.9482855,143.4409485,-91301400,153.3810526,135.4889512,-18326436.24,147.0299988
29,6/6/2022,147.0299988,148.5700073,146.1399994,145.4734955,71598400,0,0.434920635,0.109259259,45.39342306,70.72658299,0.154713114,-2.938201244,146.840514,143.4569368,-19703000,153.4503838,135.5053352,-21345849.27,144.3500061
30,6/7/2022,144.3500061,149,148.7100067,148.0317841,67808200,0.875,0.41912033,0.153018919,48.69801602,84.16101408,0.162040554,-2.553803729,147.0897797,143.3527325,48105200,153.335983,135.5440219,5767888.163,148.5800018
31,6/8/2022,148.5800018,149.8699951,147.9600067,147.2851868,53950200,0.3818,0.395004557,0.072898471,47.78912116,80.24047144,0.208249394,-2.283363469,147.20581,143.6187521,-5845000,153.7757652,136.1242396,-12729186.99,147.0800018
32,6/9/2022,147.0800018,147.9499969,142.6399994,141.9894562,69473000,0.6124,0.422073971,0.084711571,41.82587104,52.4307173,0.243041775,-2.469846887,146.5970352,144.22119,-75318000,153.2237282,137.4319899,-30303632.67,140.2799988
33,6/10/2022,140.2799988,140.7599945,137.1300049,136.5045929,91437900,0.4939,0.4733244,0.124389129,36.71576222,0.476888872,0.151741283,-3.027349447,145.3347645,144.6055638,-166755900,153.3221316,137.2678735,-41523427.3,132.8699951
